source,target
10211,32748
10211,33630
10211,6725
10211,27927
10211,21281
10211,24859
10211,9186
10211,31620
10211,34635
10211,657
10211,7177
10211,21986
10211,12929
10211,22523
10211,16455
10211,17613
10211,18764
10211,11247
10211,1981
10211,3283
10211,36122
10211,24469
10211,24308
10211,29738
10211,19213
10211,30375
10211,6947
10211,25262
10211,27564
10211,35422
10211,33922
10211,12701
10211,17098
10211,3504
10211,31895
10211,29250
10211,28127
10211,29339
10211,24456
10211,6684
10211,5716
10211,36285
10211,31390
10211,18639
10211,6579
10211,19912
10211,35355
10211,11952
10211,1860
10211,8810
10211,24245
10211,10077
10211,19997
10211,12171
10211,35878
10211,21329
10211,17608
10211,2186
10211,31145
10211,2825
10211,7523
10211,12130
10211,3864
10211,27975
10211,18914
10211,5595
10211,21026
10211,34018
10211,2795
10211,19872
10211,14595
10211,7340
10211,17250
10211,28455
10211,3063
10211,29836
10211,34104
10211,26945
10211,20189
10211,31612
10211,5827
10211,17931
10211,6504
10211,23101
10211,7549
10211,26085
10211,27939
10211,21286
10211,21561
10211,18775
10211,35549
10211,7976
10211,32458
10211,31884
10211,19166
10211,2983
10211,24451
10211,1951
10211,34900
10211,15225
27044,13736
27044,29821
27044,23894
27044,6860
27044,24657
27044,8787
27044,2506
27044,8508
27044,13165
27044,20870
27044,1592
27044,10418
27044,10977
27044,14588
27044,22091
27044,3742
27044,26714
27044,30315
27044,27357
27044,19587
27044,16320
27044,3889
27044,9147
27044,19710
27044,5837
27044,26277
27044,4488
27044,19676
27044,27082
27044,21710
27044,8867
27044,15752
27044,34002
27044,2507
27044,19018
27044,6122
27044,18920
27044,2382
27044,14670
27044,14798
27044,16958
27044,15058
27044,20660
27044,18968
27044,22658
27044,29128
27044,9847
27044,9156
27044,12261
27044,13729
27044,1126
27044,9310
27044,1567
27044,8593
27044,28369
27044,32316
27044,715
27044,32633
27044,18953
27044,36099
27044,6730
27044,27686
27044,7969
27044,8505
27044,26193
27044,17571
27044,13833
27044,28962
27044,24073
27044,11339
27044,17344
27044,4735
27044,6952
27044,1790
27044,25131
27044,18158
27044,10692
27044,26626
27044,30596
27044,14577
27044,31188
27044,8615
27044,16103
27044,32327
27044,19152
27044,7631
27044,866
27044,1032
27044,26140
27044,4048
27044,19521
27044,27802
27044,1216
27044,35821
27044,4066
27044,17423
27044,31423
27044,27327
27044,49
1,29703
1,5669
1,6489
1,24409
1,4529
1,17067
1,3918
1,32194
1,33672
1,31035
1,27531
1,25071
1,10919
1,18534
1,7801
1,28754
1,24373
1,5287
1,665
1,24077
1,34188
1,2216
1,29306
1,2011
1,11885
1,28019
1,12803
1,5058
1,28049
1,5054
1,22529
1,4284
1,23763
1,29257
1,24212
1,8768
1,3861
1,24017
1,19425
1,11827
1,14555
1,10481
1,27504
1,8861
1,9309
1,28398
1,29276
1,21681
1,8234
1,19372
1,31473
1,17895
1,17422
1,5292
1,30077
1,23619
1,23801
1,1306
1,35625
1,8425
1,5810
1,15720
1,19664
1,34983
1,13042
1,21935
1,726
1,11599
1,8317
1,31149
1,8873
1,19051
1,25069
1,29962
1,28524
1,20278
1,4826
1,22407
1,26867
1,23961
1,25257
1,25408
1,31682
1,6629
1,25027
1,10805
1,24562
1,6932
1,3058
1,33599
1,20629
1,9955
1,25089
1,77
1,12459
1,5625
1,29422
1,27998
1,27169
1,26821
34169,23434
34169,21221
34169,22004
34169,561
34169,18193
34169,4017
34169,11583
34169,8793
34169,2259
34169,231
34169,29564
34169,24573
34169,17586
34169,31160
34169,35092
34169,6115
34169,34912
34169,32922
34169,8940
34169,13556
34169,7721
34169,31997
34169,723
34169,17727
34169,632
34169,29528
34169,883
34169,30351
34169,17416
34169,6687
34169,1427
34169,18025
34169,13094
34169,18241
34169,8194
34169,17596
34169,14680
34169,16696
34169,2629
34169,29709
34169,12870
34169,29919
34169,7924
34169,4582
34169,12659
34169,25990
34169,33382
34169,29015
34169,10138
34169,4331
34169,22430
34169,32679
34169,24399
34169,22966
34169,31116
34169,15448
34169,2366
34169,33500
34169,11648
34169,12562
34169,24902
34169,29899
34169,24253
34169,11666
34169,33554
34169,28186
34169,24228
34169,35761
34169,17133
34169,14648
34169,35185
34169,10172
34169,15412
34169,26987
34169,14688
34169,17374
34169,21682
34169,31764
34169,16440
34169,13718
34169,36090
34169,22783
34169,11613
34169,17941
34169,23802
34169,16989
34169,34181
34169,8582
34169,31391
34169,5264
34169,32880
34169,10968
34169,23381
34169,2446
34169,33831
34169,10141
34169,30023
34169,11042
34169,4663
34169,23041
32235,24470
32235,25924
32235,24807
32235,3583
32235,25757
32235,23174
32235,34452
32235,17844
32235,13580
32235,2929
32235,18887
32235,34755
32235,17439
32235,16719
32235,9290
32235,18360
32235,1250
32235,24677
32235,15646
32235,12068
32235,20033
32235,31230
32235,18033
32235,2204
32235,840
32235,11737
32235,30440
32235,12662
32235,1667
32235,20606
32235,13993
32235,18117
32235,18455
32235,18544
32235,9609
32235,23703
32235,8290
32235,14478
32235,26426
32235,21444
32235,935
32235,27817
32235,26869
32235,13902
32235,34288
32235,4166
32235,8450
32235,17208
32235,23746
32235,32597
32235,20997
24369,22658
24369,18411
24369,35676
24369,18084
24369,31468
24369,26082
24369,33797
24369,24281
24369,9844
24369,9843
24369,18057
24369,14291
24369,21130
24369,13908
24369,468
24369,29907
24369,8662
24369,28949
24369,25927
24369,19013
24369,12513
24369,28391
24369,7312
24369,30538
24369,8782
24369,8834
24369,25699
24369,1121
24369,10762
24369,27050
24369,11409
24369,4412
24369,20559
24369,31849
24369,26322
24369,23623
24369,6029
24369,4957
24369,21367
24369,17002
24369,981
24369,26792
24369,25186
24369,15815
24369,2034
24369,2074
24369,1384
24369,4263
24369,25377
24369,12520
24369,1754
24369,3371
24369,12564
24369,18526
24369,21477
24369,34848
24369,8731
24369,21338
24369,25528
24369,1322
24369,6803
24369,1149
24369,33121
24369,22094
24369,22684
24369,32633
24369,30049
24369,18148
24369,20704
24369,21723
24369,14023
24369,27402
24369,6017
24369,23372
24369,2368
24369,29304
24369,31603
24369,13315
24369,11510
24369,30982
24369,3990
24369,34486
24369,32101
24369,6546
24369,2970
24369,35174
24369,308
24369,8556
24369,12189
24369,11803
24369,1134
24369,2135
24369,30293
24369,28438
24369,21655
24369,7905
24369,7887
24369,29109
24369,11516
24369,25366
22314,30261
22314,35858
22314,14506
22314,11689
22314,16766
22314,30075
22314,32587
22314,29718
22314,5390
22314,29411
22314,28180
22314,5027
22314,13413
22314,33408
22314,31129
22314,15202
22314,11796
22314,733
22314,2060
22314,9371
22314,7474
22314,27999
22314,8281
22314,24655
22314,13909
22314,7471
22314,16623
22314,20908
22314,34835
22314,13339
22314,29520
22314,15345
22314,32313
22314,12172
22314,29461
22314,6959
22314,16700
22314,1387
22314,11806
22314,33930
22314,26084
22314,27701
22314,14680
22314,28474
22314,6594
22314,25847
22314,29431
22314,21123
22314,7658
22314,34588
22314,24891
22314,30036
22314,31109
22314,14688
22314,29394
22314,29928
22314,32734
22314,32007
22314,24113
22314,17210
22314,14082
22314,14445
22314,8609
22314,28029
22314,29574
22314,24902
22314,29738
22314,15404
22314,8520
22314,23899
22314,34516
22314,23236
22314,23010
22314,11340
22314,29289
22314,20330
22314,21198
22314,29689
22314,26163
22314,14083
22314,11560
22314,25689
22314,29800
22314,26524
22314,18396
22314,22869
22314,13134
22314,23369
22314,6905
22314,11282
22314,14765
22314,22162
22314,4045
22314,8434
22314,8497
22314,17646
22314,16329
22314,31650
22314,4389
22314,25999
19924,28130
19924,18447
19924,26191
19924,15890
19924,15835
19924,30285
19924,35459
19924,20367
19924,35040
19924,18236
19924,11949
19924,6145
19924,35452
19924,13263
19924,34517
19924,339
19924,15971
19924,644
19924,17062
19924,32362
19924,23575
19924,32421
19924,18812
19924,25925
19924,4956
19924,5043
19924,13831
19924,13985
19924,26958
19924,34333
19924,11186
19924,30722
19924,34453
19924,19482
19924,32148
19924,17572
19924,17035
19924,5479
19924,13315
19924,30340
19924,6069
19924,18503
19924,13634
19924,17526
19924,27917
19924,4336
19924,16599
19924,23136
19924,24902
19924,4930
19924,33381
19924,29892
19924,1830
19924,18400
19924,1578
19924,11789
19924,27536
19924,7353
19924,34238
19924,21987
19924,8167
19924,11954
19924,27849
19924,1140
19924,17358
19924,28805
19924,4561
19924,21748
19924,1803
19924,34344
19924,33887
19924,10094
19924,16403
19924,35514
19924,23058
19924,5881
19924,29914
19924,34148
19924,22023
19924,24070
19924,20997
19924,8450
19924,32597
19924,23697
19924,17208
19924,25757
19924,6828
19924,21370
19924,11173
19924,14119
19924,7731
19924,28705
19924,8838
19924,24218
19924,26881
19924,6596
19924,13877
19924,10835
19924,21660
19924,2872
3583,26514
3583,4142
3583,34215
3583,18024
3583,5211
3583,25554
3583,2384
3583,17177
3583,31386
3583,21266
3583,6712
3583,2086
3583,997
3583,18480
3583,2130
3583,20784
3583,28625
3583,14128
3583,30442
3583,12599
3583,25093
3583,21367
3583,25475
3583,16692
3583,28526
3583,17906
3583,9732
3583,27266
3583,7042
3583,10461
3583,6597
3583,18555
3583,11790
3583,31765
3583,32935
3583,25924
3583,13617
3583,6069
3583,26047
3583,19880
3583,11840
3583,13435
3583,22212
3583,20605
3583,18473
3583,19163
3583,1713
3583,8254
3583,31980
3583,26617
3583,31595
3583,4478
3583,20997
3583,17711
3583,8450
3583,10244
3583,19416
3583,16241
3583,3360
3583,24545
3583,6496
3583,31937
3583,14180
3583,935
3583,6337
3583,21444
3583,33301
3583,23408
3583,16639
3583,13562
3583,1799
3583,8527
3583,21099
3583,22132
3583,29450
3583,22248
3583,21084
3583,18033
3583,7195
3583,216
3583,15142
3583,34264
3583,23998
3583,8058
3583,24514
3583,25674
3583,2097
3583,30171
3583,17627
3583,26650
3583,27052
3583,24177
3583,17607
3583,25589
3583,306
3583,14723
3583,1925
3583,23302
3583,25333
3583,11335
14314,21213
14314,16812
14314,7872
14314,3139
14314,26505
14314,28948
14314,616
14314,14342
14314,30592
14314,34584
14314,7781
14314,32681
14314,18446
14314,29927
14314,29236
14314,27553
14314,26681
14314,19550
14314,5708
14314,13132
14314,19155
14314,2820
14314,32640
14314,28200
14314,8118
14314,16376
14314,6831
14314,36168
14314,27143
14314,6793
14314,31397
14314,23604
14314,728
14314,2466
14314,333
14314,14514
14314,8169
14314,17245
14314,10584
14314,30972
14314,6304
14314,18822
14314,17983
14314,27569
14314,16765
14314,3733
14314,25636
14314,24706
14314,6077
14314,13351
14314,27144
14314,1579
14314,2671
14314,27921
14314,22476
14314,17047
14314,329
14314,3397
14314,22469
14314,23722
14314,11171
14314,16935
14314,20630
14314,10637
14314,3096
14314,28941
14314,17702
14314,33460
14314,34550
14314,18656
14314,16557
14314,25191
14314,12658
14314,24331
14314,34867
14314,23954
14314,3049
14314,1762
14314,31820
14314,23776
14314,9767
14314,32821
14314,27195
14314,33450
14314,5518
14314,29934
14314,8
14314,13584
14314,5732
14314,25685
14314,33976
14314,14186
14314,28817
14314,36080
14314,2040
14314,31751
14314,14366
14314,18511
14314,19528
14314,20724
3235,17048
3235,21078
3235,15754
3235,3381
3235,10725
3235,28119
3235,34235
3235,7654
3235,171
3235,22090
3235,1119
3235,12600
3235,11647
3235,14133
3235,10899
3235,26208
3235,19651
3235,28615
3235,22381
3235,11641
3235,13944
3235,20016
3235,1285
3235,3180
3235,32256
3235,3094
3235,7898
3235,9378
3235,13978
3235,27605
3235,30292
3235,6047
3235,35833
3235,32328
3235,11458
3235,6558
3235,3470
3235,28749
3235,8376
3235,17985
3235,13824
3235,45
3235,25821
3235,15356
3235,16259
3235,10341
3235,7380
3235,3496
3235,15531
3235,36056
3235,30738
3235,29384
3235,31894
3235,21874
3235,15380
3235,7082
3235,33113
3235,33404
3235,22890
3235,15493
3235,13869
3235,7209
3235,30373
3235,7040
3235,36191
3235,29258
3235,10763
3235,8307
3235,25548
3235,19995
3235,15872
3235,6662
3235,10790
3235,16298
3235,13683
3235,29318
3235,9754
3235,5262
3235,21956
3235,11198
3235,3463
3235,892
3235,32086
3235,19135
3235,32236
3235,26231
3235,23755
3235,4607
3235,36256
3235,34297
3235,24851
3235,25051
3235,21876
3235,23493
3235,31878
3235,15491
3235,20927
3235,15401
3235,1264
3235,3818
29816,18914
29816,14130
29816,32644
29816,7598
29816,24443
29816,35412
29816,25592
29816,10331
29816,22347
29816,30287
29816,15954
29816,8487
29816,25731
29816,24844
29816,6966
29816,1428
29816,27249
29816,3524
29816,4135
29816,21589
29816,7198
29816,28095
29816,31127
29816,1163
29816,8240
29816,13097
29816,2511
29816,11410
29816,32658
29816,26838
29816,34812
29816,20758
29816,18425
29816,32411
29816,26065
29816,35333
29816,12999
29816,27128
29816,25205
29816,34730
29816,7787
29816,25699
29816,1961
29816,6459
29816,29660
29816,27807
29816,1996
29816,17521
29816,23085
29816,22193
29816,27887
29816,8153
29816,25404
29816,3701
29816,23539
29816,12420
29816,19630
29816,165
29816,29461
29816,14313
29816,31268
29816,34114
29816,32398
29816,190
29816,7383
29816,18054
29816,15925
29816,6984
29816,25555
29816,21068
29816,11616
29816,3228
29816,21873
29816,24808
29816,23540
29816,22617
29816,35201
29816,12738
29816,5519
29816,19889
29816,13719
29816,394
29816,32985
29816,10645
29816,16125
29816,22650
29816,21157
29816,32604
29816,28785
29816,15389
29816,4847
29816,17930
29816,31068
29816,29902
29816,12936
29816,32631
29816,18675
29816,23298
29816,15506
29816,18753
15628,29656
15628,26529
15628,25131
15628,1605
15628,35636
15628,23221
15628,24753
15628,3909
15628,3879
15628,21484
15628,5163
15628,33681
15628,10336
15628,24810
15628,21623
15628,19170
15628,32943
15628,1186
15628,26199
15628,19878
15628,16534
15628,14988
15628,30033
15628,23232
15628,26175
15628,27954
15628,12214
15628,25177
15628,10471
15628,20536
15628,6616
15628,24669
15628,3990
15628,31553
15628,20993
15628,2483
15628,34027
15628,14913
15628,4079
15628,27686
15628,25109
15628,2055
15628,14752
15628,27570
15628,32644
15628,25928
15628,36214
15628,33287
15628,32234
15628,21998
15628,5586
15628,23347
15628,9937
15628,11257
15628,9847
15628,34934
15628,8416
15628,32902
15628,26474
15628,10845
15628,5293
15628,7913
15628,35865
15628,32120
15628,30974
15628,22482
15628,24075
15628,16780
15628,21746
15628,17183
15628,15436
15628,33835
15628,23769
15628,15829
15628,34228
15628,18836
15628,34543
15628,4140
15628,21222
15628,10545
15628,22478
15628,25759
15628,16732
15628,21118
15628,20450
15628,36183
15628,1808
15628,17378
15628,35079
15628,33875
15628,28774
15628,8731
15628,5711
15628,27808
15628,36143
15628,17314
15628,15548
15628,8206
15628,11686
15628,17909
24163,4877
24163,33444
24163,25331
24163,21562
24163,1044
24163,34441
24163,7661
24163,35564
24163,8341
24163,28683
24163,4750
24163,18926
24163,4157
24163,3814
24163,24184
24163,4190
24163,1712
24163,4480
24163,12111
24163,31435
24163,21402
24163,3400
24163,30065
24163,26572
24163,10953
24163,6271
24163,20114
24163,15856
24163,21854
24163,6046
24163,17327
24163,17211
24163,28075
24163,31891
24163,26850
24163,27907
24163,30708
24163,14895
24163,26216
24163,12528
24163,5915
24163,11347
24163,24275
24163,23838
24163,26136
24163,17653
24163,6158
24163,31889
24163,29995
24163,28834
24163,20069
24163,1677
24163,9643
24163,22849
24163,35772
24163,28642
24163,5560
24163,5816
24163,34687
24163,397
24163,3413
24163,21052
24163,22224
24163,34093
24163,18839
24163,16788
24163,2292
24163,35205
24163,31156
24163,24628
24163,32165
24163,12971
24163,32204
24163,4371
24163,26375
24163,26582
24163,5116
24163,20323
24163,1315
24163,1680
24163,3575
24163,19893
24163,18808
24163,18925
24163,32298
24163,14134
24163,18435
24163,22839
24163,28568
24163,17603
24163,20948
24163,6277
24163,34757
24163,30511
24163,11505
24163,19115
24163,15840
24163,11146
24163,13495
24163,30169
32882,15479
32882,27922
32882,2100
32882,10853
32882,34558
32882,14553
32882,27799
32882,33884
32882,2678
32882,28288
32882,18889
32882,2200
32882,28026
32882,33685
32882,25123
32882,6145
32882,13270
32882,30944
32882,18236
32882,5479
32882,13813
32882,4142
32882,6045
32882,11372
32882,3608
32882,24785
32882,21878
32882,19199
32882,18076
32882,29550
32882,6755
32882,8075
32882,23605
32882,22429
32882,12930
32882,23114
32882,7859
32882,21057
32882,34375
32882,32799
32882,27639
32882,27710
32882,28634
32882,16502
32882,20303
32882,31992
32882,13770
32882,22370
32882,11012
32882,30809
32882,7788
32882,3446
32882,34282
32882,3316
32882,36091
32882,33846
32882,22795
32882,183
32882,11575
32882,26501
32882,29935
32882,28273
32882,2647
32882,29936
32882,22470
32882,19998
32882,32549
32882,14587
32882,10065
32882,4477
32882,9819
32882,10740
32882,7047
32882,12686
32882,15100
32882,18525
32882,18503
32882,6258
32882,31793
32882,24137
32882,33111
32882,9112
32882,14971
32882,17921
32882,8405
32882,10747
32882,34155
32882,25758
32882,24002
32882,19611
32882,29180
32882,6069
32882,11783
32882,34023
32882,31207
32882,30610
32882,14125
32882,11186
32882,7569
32882,29448
13316,22249
13316,16458
13316,3223
13316,8862
13316,30125
13316,26297
13316,5712
13316,6537
13316,33196
13316,33573
13316,6883
13316,8098
13316,8790
13316,32711
13316,12462
13316,33917
13316,13752
13316,14257
13316,31628
13316,19239
13316,13007
13316,31752
13316,34557
13316,16365
13316,22254
13316,533
13316,26229
13316,3550
13316,3195
13316,20213
13316,29009
13316,6667
13316,21973
13316,10248
13316,17734
13316,12362
13316,30790
13316,20973
13316,8073
13316,11147
13316,32399
13316,3107
13316,31979
13316,1877
13316,14996
13316,11348
13316,36117
13316,17083
13316,566
13316,12273
13316,25063
13316,865
13316,17335
